Age,Gender,Education,mental_illbeing_cause_1,mental_illbeing_cause_2,mental_illbeing_mechanism_1,mental_illbeing_mechanism_2,favorite_modern_feature_1,favorite_modern_feature_2,favorite_modern_feature_3,mothers_specific,fathers_specific,children_specific
20,,13,Inadequate hygiene + sleep,Poor diet,Inadequate sleep can make you restless and tired,"Adding inadequet diet can lead to more stress, leading to more hormones, causing anxiety or depression",Interacting with friends,Food,Reading,Stress/responsibility of being sole caretaker,Meeting traditional expectations,Feelings of inadequacy
21,,13,Genetics,Environmental factors,Some people are born more susceptile to mental illness and there is not much you can do against that,"People like to judge, and if someone has a mental illness, they don't exactly have the best environment",Food,Travel,School,Raising children in current economy,Make enough money to support family,Opinions of others
21,,13,Genetics,Social media,A lot of mental health is affected by genetics,Social media can make people feel worse about themselves,Games,Close friends,Obligations,Single mothers with financial trouble,Teaching their children the right morals,Early access to technology
19,,12,Social media,Bad family,"People like to compare themselves to others they see on social media, leading to self esteem issues",Bad mom or dad can be the reason for some people's poor behavior,Hanging out with friends,Movies,Societal expectations,Working and raising children at the same time,Their children's safety,Absent parents
23,,14,Poor income/family,No professional help,"If your family is poor, it is more likely for someone to miss out on a lot of things in life","Having little money means no access to professional help, which usually costs a lot",Eating new foods,Friends and family,College,How happy their children are,Connecting with child,Early drug use
22,,13,Toxic culture,No help from family,Some cultures expect so much out of someone to make it in life that it becomes draining,"Sometimes the family expects you to help with their issues too, along with the issues you yourself already have",Technology,Video games,Books,"Money, espcially if there are pets",Confidence in being a good father figure,Lack of attention
22,,14,Social media,Poor lifestyle choices,Social media can be a bad influence on a young mind,Choices like doing drugs or drinking can make you feel worse in the longterm,Traveling to new places,Different types of cuisines,Amount of work and effort needed to be hapy,Worrying about what influences their children,Worrying if they spend enough time with their children,Loneliness
21,,13,Environmental factors,Genetics,How people are raised and around who can make a big impact on how they think,"Even if someone was raised in a good family, there is a chance genetics is the reason for mental illness",Playing games,Alone time,Everything is expensive,Illness in children,Do they make enough money,Neglect
25,,16,Lack of money and support,Social media,"Not being afford things for hobbies, medicine, or even doctor visits can make dampen mood and happiness","People tend to compare themselves to others, causing a negative self image",Cat/pet,Time spendt on YouTube,"Too much work, not enough money",Children not passing school,Kids going to college,Ability to make friends
25,,15,No professional or help from outside the family,Poor income,"With no one to help, someone with mental illness can fall deeper into depression",Having low income makes outside help even less likely,Food,Movies/videos,Need to drive everywhere,Drugs involved in their child's life,Can their children be happy,Early exposure to online culture
